final_word_corpus,satisfied
playing years quite addictive u developers plss fix issue seeing enemies far distances always makes vulnerable surprise attacks also always privilege past play high frame rate low frame rate use play depressing,1
annoying experience round ever since update season wild dogs unable enjoy game without game running like cracked cd interests player developer suggest reverse whatever upgrade done forget continually buff storage size games run time phones remain must necessarily high end thousand dollar devices play game,0
love game though close real greatest problem consistent upgrades large storage taken reduces functionality game one would think game offline frustratingly online developers reconsider players may drop period time due games capacity also noticed developers respond people reviews means care less look,1
playing years quite addictive u developers plss fix issue seeing enemies far distances always makes vulnerable surprise attacks also always privilege past play high frame rate low frame rate use play depressing,1
annoying experience round ever since update season wild dogs unable enjoy game without game running like cracked cd interests player developer suggest reverse whatever upgrade done forget continually buff storage size games run time phones remain must necessarily high end thousand dollar devices play game,0
cod happens best mobile game update becomes less enjoyable largely due game lagging get shot game freezes next thing know game happens mostly br mode kindly help resolve taking fun game sure lot people experiencing issue,0
codm awesome guarantee best shooting game ever played playing awesome game since season problem file getting imagine gb total download even enjoyed gb ram phone game large purchase really expensive anything totally awesome really recommend,1
easy stars would give star nope br based reality idea getting shot shoot water helpful needful vehicle decide shoot tire vehicle deflate instead whole vehicle exploding fun annoying part new update understand redownload every camo guns car audio soldier new map ok pls read try fix,1
wonderful concept graphics gameplay outta interactivity seamless community connectivity superb one issue many updates mean amount times need update game year frustrating heck type updating app yet exciting new content drawback needing restore previous content activision could something app would guaranteed thanks hardwork though thumbs_up,1
simply love game graphics good never boring thanks events also nerf persistence made modes hardpoint domination playable problem since last update season ping issue sometimes match much often enter gunfight ping flies ms ms making lose gunfight overall highly recommend downloading one best mobile experiences,1
reminds old cod option use ps xbo remote control bluetooth linkage mobile device amazing accurate use phones mirror app play big screen one minor complaint hook controller sometimes opponents controllers even though game boasts match others also using controllers little unfair peak hours still star game,1
love game right awesome pay play starting become unplayable anything space anything phone use really good facing prominent lag issues setting high reduced still annoying ranked game also need sort matchmaking cos getting sick enemy teams godly team barely co ordinate going stars,1
really really love takes space phone expect call duty game going take space low end phone may take space ok worth may really laggy give choice lower graphics overall great game please make zombies permanent thing please would star,1
love app sometimes get good players enemy team witch fun lose awkward maps little hard learn getting hang words app freaking awesome better stationary game consoles rating best game ever excitement excitement although would love see play vs ai offline,1
played lots times ps controller problem new update let use controls different work controller brand new edit fixed thank love playing bad work brand new tablet without sd card connect wifi game,1
gameplay smooth alot maps mp reached master ranked find matchs removal classic zombies huge mistake paid call duty black ops zombies came even play anymore either release classic zombies good put game people would happy pay classic zombie maps finger tips,0
update glad see overhaul fixing alot bugs even happy ps controller support plug phone tv like console issue cannot navigate menus controller battle use match still use phone physically touchpad ps controller supported game would awesome keep good work,1
ups downs game game play enjoy lot still countless times redownloading trying past seasons played really enjoying zombies game mode made fun wish would bring back love game still,1
love game realistic weapons features players instance able visible poltergeist feature trickster flying around also weapons close realistic like real world weapons also think cheating going shoot enemy several rounds turn around kill one shot realistic,1
amazing game great controls excellent graphics mobile game main gripe reason give stars instead weekly basis version stage play stage choose option fine except trying play mp outside mode still get repeatedly pulled whatever stage fill playlists quicker want matches shipment shipment,1
aside un lucky draws end spending money things want hopes actually lucky occasional glitch probably one complete fps mobile games played albeit recent update logging game begins load freezes problem never recent updates overall suggest keeping zombie mode charging flat rate skins gun new character,1
